Agency_id,Park_trail_id,Entrance_id,Entrance_name
6,56,12,Highway 96 and Highway 61
6,56,13,Highway 96 and Karen Place (approximately 2 blocks east of Otter Lake Road on north side of Highway 96)
6,56,14,Highway 96 and 2nd Avenue (approximately 2 blocks west of Highway 61 on north side of Highway 96)
6,58,1,Spoon Lake
6,58,2,Keller North (Island)
6,58,5,Lakeside Picnic Area
6,58,6,Lower Keller
6,58,7,Golf View Keller
6,58,8,Golf View Keller Trail Entrance
6,58,9,Round Lake Trail Entrance from Phalen Regional Park
6,59,1,Main Entrance/Old Highway 8
6,59,2,South Entrance Boat Launch
6,59,3,North Entrance
6,59,4,Rice Creek West Trail
6,59,5,Neighborhood Entrance
6,60,1,West Trail Entrance
6,60,2,East Trail Entrance
6,60,3,Silver Lake Road Entrance
6,60,4,Long Lake Road Entrance
6,60,5,County Road H
6,60,6,Mustang Circle
6,60,7,Irondale High School
6,60,8,Long Lake Regional Park
6,60,9,Mounds View Boulevard Small Parking Lot
6,60,10,County Road H Park and Ride
6,61,1,Trail South Entrance
6,61,2,Lexington Avenue Parking Lot
6,61,3,West Neighborhood Entrance
6,61,4,Snelling Avenue Dog Park Trail Entrance
6,61,5,Prairie Ridge Road Trail Entrance
6,61,6,Parkview Drive Trail Entrance
6,61,7,Rice Creek Parkway Trail Entrance
6,61,8,Fairview Neighborhood Entrance
6,99,1,"Boat Launch, Picnic Area and E. Anderson Trail Entrance"
6,99,2,South E. Anderson Trail and Beach Entrance
6,99,3,County Road E2 and E. Anderson Trail Entrance
6,99,4,Perry Park Entrance
6,98,1,Trail South Entrance at Arlington and Jackson Streets
6,98,2,Trail North Entrance east of McCarron's County Park
6,98,3,Trail North Entrance east of McCarron's County Park - Larpenteur
6,98,4,Gateway State Trail Entrance
6,137,1,Trail Entrance at Highway 61 and Lake Avenue
6,137,2,Clark Avenue and Lake Avenue
6,137,3,2nd Street and Lake Avenue
6,137,4,4th Street and Lake Avenue
6,137,5,Central Avenue and Lake Avenue
6,137,6,7th Street and Lake Avenue
6,137,7,9th Street and Lake Avenue
6,137,8,West Park (White Bear Lake)
6,137,9,Trail Entrance at White County Park
7,62,1,Johnson Parkway - Maryland Avenue entranc
7,62,3,Drewry Lane and Beaumont Street access
7,62,5,Payne Avenue Access
7,62,6,Intersection of Phalen Boulevard and Johnson Parkway
7,62,7,Intersection of Phalen Boulevard and Frank Street
7,62,8,Parking lot at entrance to Bruce Vento Nature Sanctuary
7,63,1,Chippewa - Curtice
7,63,2,"Intersection of Cherokee Heights Boulevard, Baker Street West and Chippewa Avenue"
7,63,3,Annapolis - Chippewa
7,63,4,Cherokee Heights Boulevard - South
7,63,5,Cherokee Avenue - Baker Street
7,64,1,E Como - North
7,64,2,E Como - Lakeview
7,64,3,E Como - Victoria
7,64,5,Como - Chatsworth
7,64,6,Como Boulevard - Horton
7,64,7,Horton Avenue - Churchill
7,64,8,Horton Avenue - Lexington
7,64,9,Horton Avenue - Midway Parkway
7,64,10,Como Avenue - Midway Parkway to Hamline
7,64,14,Hamline - Midway Parkway
7,64,16,Zoo WOLF Lot - 1/2 lot nearest Wolf Woods
7,64,17,Zoo WOLF Lot - 1/2 lot nearest Amusement Rides
7,64,18,Nason - Kaufman
7,64,19,Estabrook - Lexington Parkway
7,64,20,Palm Lot - Midway Parkway 1
7,64,21,On the end of the Palm Lot closest Midway Parkway
7,64,22,Palm Lot - Aida 3
7,64,23,Lake Pavilion - South
7,64,24,Lake Pavilion - North
7,64,26,West Picnic Lot
7,64,27,Butterfly Lot
7,65,1,Picnic Pavilion Parking Lot
7,65,2,East Parking Lot
7,65,3,Long Public Dock that points down river
7,65,4,Harriet Island and Lilydale Park Junction
7,65,5,Lilydale Road & Plato Boulevard
7,65,7,Lilydale pool and Yacht Club parking area
7,65,8,Harriet Island Pedestrian Gateway
7,66,1,Interstate 35E
7,66,2,Watergate
7,66,3,Lower Hidden Falls - South Gate (at corner of Prior Avenue and Mississippi River Boulevard)
7,66,4,Hidden Falls - Main
7,66,5,River Entries
7,67,1,Earl Street
7,67,2,Thorn Street - Mounds Boulevard
7,67,3,Wilshire/Mounds Boulevard
7,67,4,Cherry Street/Mounds Boulevard
7,68,1,430 Mississippi River Boulevard
7,68,2,Lake Street - Marsahll Avenue Bridge
7,68,3,104 Mississippi River Boulevard
7,68,4,Boulevard - West of Exeter
7,68,5,Mississippi Boulevard - Cretin
7,68,6,Mississippi Boulevard - Summit
7,68,7,162 Mississippi River Boulevard
7,68,8,Mississippi River Boulevard - Saint Clair
7,68,9,Mississippi River Boulevard - Jefferson
7,68,10,524/534 Mississippi River Boulevard
7,68,11,Mississippi River Boulevard - Woodlawn
7,68,12,Mississippi River Boulevard - Highland Parkway
7,68,13,Mississippi River Boulevard - Ford Dam Overlook
7,68,14,Mississippi River Boulevard - Hidden Falls Overlook
7,68,15,Mississippi River Boulevard - South of Magoffin
7,68,16,Mississippi River Boulevard - Itasca
7,68,17,Mississippi River Boulevard - Elsie Street
7,68,18,Mississippi river Boulevard - Cleveland
7,68,19,Mississippi River Boulevard - North of Prior
7,70,1,Round Lake
7,70,2,East Shore Drive - Sophia
7,70,3,East Shore Drive - Larpenteur
7,70,4,East Shore Drive - Brighton
7,70,5,East Shore Drive - Arlington
7,70,6,East Shore Drive - Wheelock
7,70,7,Wheelock Gate
7,70,8,Beach Lot
7,70,9,Lakeside Lot
7,70,10,Picnic Lot
7,70,11,Bridge Lot
7,70,12,Arcade Lot
7,70,13,Gold Course Lot
7,69,1,Crosby Farm Nature Area Parking Lot at Shepard Road and Gannon Street
7,69,2,Watergate Marina Entrance at Shepard Road and Davern Street
7,69,3,Crosby Lake Avenue and Shepard Road parking lot (Elway entrance)
7,69,4,Otto Avenue entrance
7,69,5,Randolph Street entrance
7,69,6,Parking lot east (downriver) of Sibley Street and Warner Road Stoplight
7,130,1,Main entry off Jackson Street - Parking lot
7,130,2,Rose Avenue East at trail leading into park trail off the east end of Rose Avenue - trail entry
7,130,3,Jenks Avenue East at trail leading into trail Jackson Street - trail entry
8,88,10,81st Avenue and Xerxes Avenue
8,88,11,85th Avenue and Xerxes Avenue
8,88,12,Edinbrook Golf Course
8,88,13,Noble Parkway
8,88,14,97th Avenue and Noble Parkway
8,88,15,101st Avenue and Noble Parkway
8,88,37,Noble Parkway
8,88,39,Edinbrook Parkway and Noble Parkway
8,88,40,Edinbrook Crossing North
8,88,41,Brooklyn Park City Trail
8,88,42,Xerxes Court North
8,88,43,Xerxes Avenue and Palmer Lake Trail
8,88,44,Palmer Lake North Intersection
8,88,45,York Avenue
8,88,46,West Palmer Lake Park
8,88,47,Shingle Creek Parkway and 69th Avenue Intersection
8,88,48,Palmer Lake Trailhead
8,88,49,69th Avenue Crossing
8,88,50,Shingle Creek Parkway Underpass
8,88,51,Freeway Boulevard Underpass
8,88,52,Central Park - North Point
8,88,53,Central Park - Central Point
8,88,54,Central Park - Southern Point
8,88,55,Bass Lake Road
8,88,56,Highway 100 Overpass
8,88,57,Central Park - Picnic Area and Park Trails
8,88,58,Shingle Creek Parkway
8,102,1,Main Entrance
8,102,2,Boat Access
8,114,1,Main Entrance
8,114,2,Scott County Regional Trail Connection
8,114,3,Tahinka Place Spur
8,114,4,Hawk Ridge Road Spur
8,114,5,North Wood Road Spur
8,114,6,Spring Lake Road Spur - East
8,114,7,South Pakring Lot
8,114,8,Spring Lake Road Spur - West
9,21,1,Baker Main Gate
9,21,2,Campground Turf Spur
9,21,3,Marshview Turf Trails
9,21,4,Baker Horse Trailhead
9,21,5,Southern Lake Independence Regional Trail Connection
9,21,6,Maple Plain Trailhead
9,21,7,Spurzem Fishing Access
9,21,8,Half Moon Fishing Access
9,21,9,Sycamore Trail Turf Spur
9,21,10,County Road 24 Trail Intersection
9,21,11,Northern LIT Connection
9,21,12,Main Street Spur
9,21,13,Main Recreation Area North Spur
9,97,1,Ximines Lane Crossing
9,97,2,Pilgrim Lane Crossing
9,97,3,Gettysburg Avenue Crossing
9,97,4,Boone Avenue/36th Avenue Intersection
9,97,6,Northwood Park
9,97,7,Winnetka Avenue/36th Avenue Intersection
9,97,8,Nevada Avenue/36th Avenue Intersection
9,97,9,Nevada Avenue/32nd Avenue Intersection
9,97,10,Lion's Valley Place Park at Jersey Avenue
9,97,11,Lion's Valley Place Park at Hampshire Avenue
9,97,12,Douglas Drive Crossing
9,97,13,Bassett Creek Park - West
9,97,14,Bassett Creek Park - East
9,22,1,Bryant Lake Main Gate
9,22,2,Rowland Road Paved Spur
9,22,3,Wooddale Church Parking Lot
9,22,4,Bryant Lake Pet Exercise Area
9,23,1,Grimm Road
9,23,2,Lowry Nature Center
9,23,3,Lake Auburn Access/King Sanctuary
9,23,4,Steiger Lake Access
9,23,5,Lake Zumbra Access
9,23,7,Lake Minnetonka LRT Connection
9,23,8,Carver Off-leash Dog Area
9,24,1,French Main Gate
9,24,2,36th Avenue Gate
9,24,3,Medicine Lake Drive Turf Spur
9,24,4,Rockford Road Connections
9,24,5,Goldenrod Lane and 40th Avenue North Spur
9,25,1,Cleary Main Gate
9,25,2,Northeast Trail Entrance
9,25,3,Northwest Trail Entrance
9,25,4,Cleary Pet Exercise Area
9,25,5,West Trail Spur
9,76,1,Blake Road Crossing
9,76,2,Wooddale Avenue Crossing
9,76,3,Beltline Boulevard Crossing
9,76,4,Depot Coffee House
9,76,5,11th Avenue Crossing
9,76,6,Edgebrook Park Connections
9,76,7,Excelsior Boulevard Crossing
9,76,8,Louisiana Avenue Spur
9,76,9,Lilac Park Spur
9,76,10,Tyler Avenue Spur
9,76,11,5th Avenue Crossing
9,76,12,8th Avenue Crossing
9,76,13,Jackson Avenue Crossing
9,26,2,Coon Rapids Dam Main Entrance
9,26,3,East End of Coon Rapids Dam Walkway
9,26,5,West Trail Spur
9,26,6,97th Avenue Entrance
9,27,1,Main Entrance
9,27,2,Pet Exercise Area
9,27,3,County Road 19 Spur
9,27,4,County Road 203 Spur
9,27,5,Territorial Road Turf Spur
9,CRL=crystal lake?,,
9,96,1,Ferndale Road and Shoreline Drive Crossings
9,96,2,Russell Avenue Crossing
9,96,3,North Shore Drive Crossing
9,96,4,Shoreline Drive and Arcola Lane Accesses
9,96,5,Woodbridge Road Crossing
9,96,6,Lake Road Crossing
9,96,7,Shadywood Road Crossing
9,96,8,Sunset Drive Crossing
9,96,9,Kings Road Crossing
9,96,10,Montclair Lane Crossing
9,96,11,Fairview Lane Crossing
9,96,12,Shoreline Drive Crossing
9,96,13,Sugarmill Lane Spurs
9,96,14,Westedge Boulevard Crossing
9,96,15,County Road 110 Crossing (Gale Woods Farm)
9,96,16,Halstead Drive Crossing
9,96,17,Highland road Crossing
9,96,18,Saint Bonifacius Trailhead
9,96,19,Orono Orchard Road Crossing
9,96,20,Commerce Boulevard Crossing
9,96,21,Gale Wood Farm Spur
9,96,22,Hunters Trail Crossing
9,96,23,Partridge Road Spur
9,96,24,Eagle Nest Drive Spur
9,28,1,Main Gate
9,28,2,Rush Creek Trail Connection
9,28,3,Zachary Lane Service Road
9,28,4,109th Avenue/Goose Lake Road/Zachary Lane Roundabout
9,28,5,Eastman Nature Center
9,28,7,Elm Creek Horse and Archery Lot
9,28,8,Territorial Road
9,28,9,101st Avenue Spur
9,28,10,Territorial Road and Fernbrook Lane Spur
9,28,11,Elm Creek Road Trailhead Lot
9,28,12,North Trailhead Lot
9,28,13,Hayden Lake Road Crossing
9,28,15,"Elm Creek Road, Eastern Trail Crossing"
9,28,16,County Road 202 Trail Spurs
9,28,17,Pet Exercise Area
9,28,18,Hilltop Court Spur
9,28,19,Pondview Court Spur
9,28,20,Lakeside Trail Access
9,28,22,LifeTime Fitness Spur
9,28,23,Hackberry Lane Spur
9,28,24,High Pointe Park Trail Access
9,28,25,Medicine Lake Trail Access
9,28,26,Cobblestone Road Spur
9,28,27,121st Avenue Spur
9,78,1,Golf/Main Entrance
9,78,2,Eastern 62nd Avenue North Entrnace
9,78,3,Western 63rd Avenue North Entrance
9,78,4,Bass Lake Road Turf Spur
9,30,1,Fish Lake Main Gate
9,30,2,Timber Crest Drive North Spur
9,30,3,West Medicine Lake Regional Trail Entrance
9,30,4,Lakeside Trail
9,30,5,South Medicine Lake Regional Trail Entrance
9,30,6,Orchid Lane Turf Spur
9,80,1,Main Gate
9,80,2,Dakota Rail Regional Trail Spur
9,31,1,Main Gate
9,31,2,West 94th Street Spur
9,31,3,Richardson Nature Center
9,31,4,Bush lake Trail
9,31,5,Sumac Knoll Group Camp
9,31,6,Hyland Lake Southeast Trail Access
9,31,7,Hyland Lake Southwest Trail Access
9,31,8,Tierney's Woods
9,31,9,Anderson Lakes Main Entrance
9,31,10,Anderson Lakes Parkway Trail Access
9,31,11,Hyland Hills
9,32,1,Lake Rebecca Main Gate
9,32,2,Crow River Canoe Access
9,32,4,North Trail Spur
9,32,6,Roy Road Spur
9,32,7,Horse Trailhead
9,32,9,Lake Sarah Off-Leash Area
9,32,10,Southwest Trail Spur
9,33,1,Lake Minnetonka Main Gate
9,33,2,Shady Lane Spur
9,33,3,Merrywood Lane Spur
9,33,4,Lake Minnetonka Boat Launch
9,33,5,County Road 44 Spur
9,33,6,Lotus Drive Spur
9,77,1,Kelley Parkway Crossing
9,77,2,Watertown Road Crossing
9,77,3,Luce Line State Trail Connection
9,77,4,Silverview Drive Crossing
9,77,5,County Road 6 Crossing
9,77,6,Baker Park Reserve Connection - South
9,77,7,Hamel Road Crossing
9,77,8,County Road 11 Access
9,77,9,Crestview Lane Crossing
9,77,10,Highway 55 Crossing
9,77,11,Pioneer Trail Crossing
9,77,12,County Road 50 Crossing
9,77,13,Strehler Road Crossing
9,77,14,County Road 10 Crossing
9,77,15,County Road 30 Crossing
9,77,16,Oakdale Drive Crossing
9,77,17,Crow-Hassan Park Reserve Connection
9,77,18,Hanover Bridge
9,89,11,Shenandoah Lane
9,89,12,Fernbrook Lane Spurs
9,89,13,15th Avenue Connection
9,89,14,18th Avenue Spur
9,89,15,Forestview Lane Spur
9,89,16,West Medicine Lake Drive Crossing
9,89,17,Sunrise Bay Condominiums
9,89,18,South Shore Drive Crossing
9,89,19,13th Avenue and Medicine Lake Regional Trail Connection
9,89,20,Highway 169 Underpass Area
9,89,21,Boone Avenue Crossing
9,89,22,Winnetka Avenue Crossing
9,89,23,Golden Valley Road Crossing
9,89,24,Glenwood Avenue Spur
9,89,25,Country Club Drive
9,89,26,Douglas Drive Crossing
9,89,27,Zane Avenue Crossing
9,89,28,Holiday Lane Crossing
9,89,29,Schaper Park
9,89,30,Xenium Lane
9,89,31,13th Avenue Spur
9,89,32,11th Avenue and 10th Avenue Spurs
9,89,33,Minnesota Lane Spur
9,39,1,17th Avenue Crossing
9,39,2,Shady Oak Road Crossing
9,39,3,Tonkawood Road Crossing
9,39,4,Minnetonka Middle School Connection
9,39,5,Minnetonka Boulevard Crossing
9,39,6,Water Street Crossing
9,39,7,Manitou Road Crossing
9,39,8,Smithtown Road Crossing
9,39,9,Rolling Acres Road Crossing
9,39,10,Park Drive Crossing
9,39,11,Lund's Spur
9,39,12,Guilliam's Field Park Spur
9,39,13,Minnetonka Drive Spur
9,39,14,Sussex Drive Spur
9,39,15,Steele Street Spur
9,39,16,Hidden Valley Road/Brown Lane Spurs
9,39,17,Highway 101 Spurs
9,39,18,Lindsey Lane Spur
9,39,19,Burton Park Accesses
9,39,20,Excelsior Boulevard Crossing
9,39,21,Strawberry Lane Crossing
9,39,22,Freeman Park Spur
9,39,23,Highway 7 Spurs
9,39,24,St. Moritz Street Spur
9,39,25,Minnetonka Mills Road Crossing
9,39,26,Bake Road Crossing
9,39,27,Williston Road Crossing
9,39,28,Victoria Trailhead
9,39,29,14th Avenue Crossing
9,39,30,11th Avenue Crossing
9,39,31,Linwood Circle Crossing
9,39,32,Sleepy Hollow Road Crossing
9,39,33,Meadville Street Crossing
9,39,34,Morse Avenue Crossing
9,39,35,George Street Crossing
9,39,36,Timber Lane Crossing
9,39,37,Applewood Pointe Apartments Spur
9,29,1,French Regional Park Connection
9,29,2,36th Avenue and East Medicine Lake Boulevard Intersection
9,29,4,32nd Avenue
9,29,5,Medicine Ridge Road
9,29,6,26th Avenue and Revere Lane
9,29,7,Nathan Lane
9,29,8,23rd Avenue
9,29,9,East Medicine Lake Park
9,29,10,Luce Line Regional Trail Connection
9,29,16,Polaris Lane Spur
9,29,17,West Fish Lake Road
9,29,18,73rd Circle Spur
9,29,19,Nottingham Park Connection
9,29,20,Zanzibar Lane Spur
9,29,21,78th Avenue Spur
9,29,22,Xene Lane Spur
9,29,23,Weaver Lake Road Spurs
9,29,24,Blackoaks Lane Spur
9,29,25,Rice Lake Connection - North
9,29,26,96th Place Spur
9,29,27,Fernbrook Elementary School
9,29,29,Fernbrook Lane Crossing
9,29,30,Maple Grove Arboretum Trail Connection
9,29,31,Maple Grove High School Spur
9,29,32,Elm Creek Bridge
9,29,34,93rd Avenue Northern Spur
9,29,35,71st Avenue Connection
9,29,36,72nd Place Spur
9,29,37,Elm Creek Park Reserve Connection
9,29,38,Annapolis Lane Spur
9,29,39,Maple Grove Parkway Spur
9,29,40,Ranchview Lane Spur
9,29,41,95th Avenue Crossing
9,29,42,93rd Avenue Northern Spur
9,29,43,Upland Lane Spur
9,29,44,Rice Lake Connection - South
9,29,45,Weaver Lake Elementary
9,29,46,Bass Lake Road Underpass
9,29,47,Glacier Lane - North Crossing
9,29,48,Glacier Lane - South Crossing
9,29,49,Ithaca Lane Spur
9,29,50,62nd Place and Fernbrook Lane Spurs
9,29,51,County Road 47
9,29,52,West Fish Lake Road Crossing
9,29,53,59th Avenue Connection
9,29,54,Plymouth Greenway Connections
9,29,55,54th Avenue Crossing
9,29,56,53rd Avenue Crossing
9,29,57,52nd Avenue Crossing
9,29,58,Cheshire Lane and Schmidt Lake Road Intersection
9,29,59,Schmidt Lake Road and Northwest Boulevard Intersection
9,29,60,44th Avenue Crossing
9,29,61,42nd Place Crossing
9,40,1,11th Avenue Crossing
9,40,2,Dominick Drive Crossing and Spur
9,40,3,Baker Road Crossing
9,40,4,County Road 62 Connection
9,40,5,Valley View Road Spur
9,40,6,Venture Lane Crossing
9,40,7,Eden Prairie Road Crossing
9,40,8,Dell Road Crossing
9,40,9,Bluff Creek Drive Trailhead
9,40,10,Edenvale Boulevard Crossing
9,40,11,Howard Lane and Harlan Drive Spurs
9,40,12,Riley Lake Park - West
9,40,13,Scenic Heights Road Crossing
9,40,14,Candlewood Parkway Crossing
9,40,15,Danton Way Spur
9,40,16,Shady Oak Road Spur
9,40,17,Miller Park's Southeast Spur
9,40,18,Highway 212 Overpass (North half of the #13 split)
9,40,19,Pioneer Trail and Trails End Road spurs
9,40,20,Riley Lake Park - East LOW
9,40,21,County Road 62 Underpass
9,40,22,Rowland Road Crossing
9,34,1,Main Trailhead/Shelter Parking Area
9,34,2,Horse trailhead
9,34,3,Cam Ram Park Spur
9,34,4,Natchez Avenue Spur
9,34,5,Judicial Road Trailhead
9,34,6,Murphy Lake Boat Launch
9,34,7,Murphy Lake Boulevard Spur
9,34,8,175th Street Spur
9,34,9,Landmark Court Spur
9,79,1,2nd Street Crossing
9,79,2,Madison Avenue Connection
9,79,3,36th Street Crossing
9,79,4,34th Street Crossing
9,79,5,Aquila Park Connection
9,79,6,31st Street Crossing
9,79,7,Virginia Avenue Crossing
9,79,8,Victoria Circle Crossing
9,79,9,Dakota Park Spur
9,79,10,Target Spur
9,79,11,Minnetonka Boulevard Spur
9,79,12,Nelson Park Spur
9,79,13,27th Street Crossing
9,101,1,West End
9,101,2,East End
9,36,1,Lyndale Avenue and 57th Avenue Entrance
9,36,2,Willow Lane Entrance
9,115,1,Elliot Avenue Crossing
9,115,2,Portland Avenue Crossing
9,115,3,3rd Avenue Crossing
9,115,4,Nicollet Avenue Crossing
9,115,5,Pleasant Avenue Crossing
9,115,6,Lyndale Avenue Crossing
9,115,7,Colfax Avenue Crossing
9,115,8,76th and 77th Street Intersection
9,115,9,Humboldt Avenue and 76th Street Intersection
9,115,10,Donaldson Park Spur
9,115,11,Penn Avenue Crossing
9,115,12,Sheridan Avenue Crossing
9,115,13,Xerxes Avenue Crossing
9,115,14,Gallagher Drive Connection
9,115,15,France Avenue Crossing
9,115,16,Gallagher Drive and Parklawn Avenue Intersection
9,115,17,Kellogg Avenue Spur
9,115,19,77th Street Spur
9,115,20,72nd Street and Metro Boulevard Intersection
9,115,21,Ohms Lane Connection
9,115,22,70th Street Connection
9,115,23,Edina Manor Boardwalk
9,115,24,Heights Park Spur
9,115,25,Valley Lane Spur
9,115,26,Tracy Avenue Crossing
9,115,27,Edina High School Spur
9,115,28,Creek Valley Park Spur
9,115,29,Bredesen Park Trail Connection
9,115,30,Gleason Road Connection
9,115,31,Vernon Avenue Crossing
9,115,32,Walnut Ridge Park Trail Connection and Tamarac Lane Spur
9,115,33,Walnut Ridge Park Lot Connection
9,115,34,Londonderry Drive Connection and Walnut Drive Spur
9,115,35,Lincoln Drive Crossing
9,115,36,Smetana Drive and Breen Road Intersection
9,115,37,Opportunity Court Connection
9,115,38,Semtana Road and Westbrooke Way Intersection
9,115,39,Old Settlers Trail Connection
9,115,40,Westbrooke Way Connection
9,115,41,Valley Park Lot Connection
9,115,42,7th Street and 9th Avenue Intersection
9,115,43,7th Street and 11th Avenue Intersection
9,115,44,5th Street Connection
9,115,45,Normandale Boulevard Spur
9,115,46,East Promenade Connection
9,37,1,Noerenberg Gardens
9,35,1,Valley Forge Lane
9,35,2,Boundary Creek Terrace
9,35,3,Nathan Lane
9,35,4,Jefferson Highway
9,35,5,Winnetka Avenue
9,35,6,Douglas Avenue
9,35,7,Noble Avenue
9,35,8,Fallgold Avenue
9,35,9,Coon Rapids Dam
9,35,10,City Trail Spur just east of Boundary Creek Terrace
9,35,11,Lancaster Lane North
9,35,12,Noble Parkway North
9,35,33,Villas of the Mississippi
9,35,38,Chestnut Circle North
9,35,40,Oak Grove Park
9,35,41,104th Circle North
9,35,42,Yates Drive North
9,35,43,105th Avenue North
9,35,44,Toledo Drive North Spur
9,35,45,Quail Avenue North
9,35,46,Regent Avenue North
9,35,47,Orchard Trail Park Spur
9,111,2,Crystal Lake Regional Trail Connection
9,111,3,Twin Lake Park
9,111,4,Lake Breeze Avenue and Azelia Avenue
9,111,5,France Avenue and Azelia Avenue
9,111,6,France Avenue and 53rd Avenue
9,111,7,53rd Avenue and Brooklyn Boulevard Service Road
9,111,8,Brooklyn Boulevard
9,111,9,Xerxes Avenue
9,111,10,56th Avenue North
9,111,11,Xerxes Avenue and Bass Lake Road
9,111,12,Shingle Creek Parkway Crossing
9,111,13,Logan Avenue Crossing
9,111,14,Irving Avenue Crossing
9,111,15,Fremonth Avenue Crossing
9,111,16,Colfax Avenue Crossing
9,111,17,Northway Drive Crossing
9,111,18,Camden Avenue Crossing
10,82,1,Main Gate
10,71,1,Main Gate
10,71,2,Paved Trail
10,72,1,Main Gate
10,83,1,Main Gate
10,83,2,Gateway Trail entrance by covered picnic table
10,133,1,Trailhead
10,133,2,Highway 61 Entrance to Trail
10,73,1,Main Gate
10,74,1,Main Gate
10,81,1,Trailhead at Transit Center at 19955 Forest Road North - just south of 202nd Street
10,81,2,147th Street Intersection
10,81,3,Trailhead at Hugo
10,81,4,157th Street Intersection
10,81,5,159th Street Intersection
10,81,6,170th Street (4) Intersection
10,81,7,180th Street Intersection
10,81,8,190th Street Intersection
10,81,9,202nd Street (50) Intersection
10,81,10,County Road 83 Intersection
10,81,11,Broadway (2) Intersection
10,81,12,County Road 8 Intersection
10,81,13,Chisago County Line
10,81,14,Highway 61 & 145 Street North Intersection
10,81,15,Highway 61 & Frenchman Road (Highway 8)
10,81,16,Highway 61 & 140th Street North Intersection
1,4,2,Boat Launch
2,140,1,East 84th Street and Old Cedar Avenue
2,140,2,Junction of Old Cedar Avenue and Old Shakopee Road
2,140,3,Junction of American Boulevard and 12th Avenue
2,140,4,Junction of American Boulevard and Old Cedar Avenue
2,140,5,East 86th Street and Old Cedar Avenue
3,13,3,Multi-use trail - access to regional park from Herman Field Park on northwest side of property
5,41,6,Spring Lake Entrance
6,58,4,Round Lake Picnic Area
7,64,13,Como/Horton-Hamline
9,84,1,Silverwood Main Entrance
9,84,2,East Trail Entrance
9,84,3,Southwest Trail Entrance
9,117,1,West Unit Main Entrances
9,131,1,Zenith Avenue Crossing
9,131,2,Abbott Avenue Crossing
9,131,3,35th Avenue Crossing
9,131,4,Lakeview Terrace Park South
9,131,5,Lakeview Terrace Park North
9,131,6,Boardwalk South
9,131,7,Boardwalk North
9,131,8,40th Avenue & Bottineau Boulevard Intersection
9,131,9,40th Avenue & Lake Road Intersection
9,131,10,Halifax Avenue Connection
9,131,11,Lake Road & Lake Drive Intersection
9,131,12,Lake Drive & Lakeland Avenue Intersection
9,131,13,Twin Oak Drive Connection
9,131,14,Twin Lakes Boat Launch
9,131,15,Twin Lakes Regional Trail Connection
9,131,16,45th Avenue Connection
9,131,17,47th Avenue Crossing
9,131,18,49th Avenue Crossing
9,131,19,Corvalis Avenue Crossing
9,131,20,Wilshire Boulevard Crossing
9,131,21,Bass Lake Road Crossing
9,131,22,Crystal Airport Road Crossing
9,131,23,Lombardy Lane Crossing
9,131,24,62nd Avenue Crossing
9,131,25,Forest Avenue Spur
9,131,26,63rd Avenue Crossing
9,131,27,65th Avenue Connection
9,131,28,Elm Creek Boulevard Crossing
9,131,29,Hemlock Lane Crossing
9,131,30,93rd Avenue Crossing
9,131,31,Zachary Lane Crossing
9,131,32,Wellington Lane Crossing and Osseo Ice Arena Connection
9,131,33,1st Avenue Crossing
9,132,1,61st Street Connection
9,132,2,Bloomington Avenue Spur
9,132,3,63rd Street Crossing
9,132,4,64th Street Crossing
9,132,5,66th Street Crossing
9,132,6,67th Street
9,132,7,68th Street Connection
9,132,8,Diagonal Boulevard Crossing
9,132,9,73rd Street Crossing
9,132,10,76th Street & Cedar Avenue Intersection
9,132,11,Bloomington Avenue Crossing
9,132,12,12th Avenue & 76th Street Intersection
9,132,13,77th Street Crossing
9,132,14,494 Bridge
